Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2019-09-16,79.6184,81.2932,79.0786,80.0417,616853.61
2019-09-17,79.233,79.5223,77.8087,78.0777,879006.12
2019-09-18,78.3282,79.8689,78.0777,78.7709,642308
2019-09-19,78.6175,78.9252,77.8272,78.3476,534721.41
2019-09-20,78.7136,79.5029,78.1932,78.5398,984995.18
2019-09-23,78.1553,78.4437,74.9204,75.7097,791980.39
2019-09-24,75.7864,76.8262,75.7864,76.2874,404979.52
2019-09-25,75.7291,76.6534,75.5748,76.0369,471079.77
2019-09-26,76.4408,77.6738,75.9602,76.0942,441617.65
2019-09-27,76.5184,77.2311,75.9602,76.8262,285021.6
2019-09-30,77.2117,77.4039,76.1136,77.0184,500765.4
2019-10-01,76.4223,76.4223,74.3621,74.3621,642139.08
2019-10-02,75.0553,75.1515,71.5311,71.5505,824214.24
2019-10-03,71.9738,72.5136,70.7612,71.1845,436884.8
2019-10-04,71.2621,72.1476,70.8767,72.1476,456648.44
2019-10-07,72.2631,74.1311,71.9359,74.1311,566435.11
2019-10-08,74.1689,75.0165,72.6097,72.8019,525589.43
2019-10-09,72.7825,73.9379,72.7252,73.0718,356960.92
2019-10-10,73.4757,75.0738,73.399,74.8049,767069.84
2019-10-11,75.3825,77.1155,75.3049,76.9417,576077.97
2019-10-14,77.2117,77.5961,75.4019,75.6515,453358.62
2019-10-15,76.0369,76.5757,75.5165,75.7097,300044.15
2019-10-16,75.5748,75.5748,73.8612,73.8806,554388.23
2019-10-17,74.034,75.5553,73.5146,75.1709,377095.36
2019-10-18,74.5155,75.5748,73.765,75.3631,336361.95
2019-10-21,75.5748,78.367,75.5748,77.9621,582210.59
2019-10-22,78.4631,78.867,78.0204,78.3282,319551.32
2019-10-23,77.9816,78.8291,77.5194,78.6553,352115.8
2019-10-24,78.7515,79.3874,78.0204,78.367,336601.94
2019-10-25,78.1738,78.9825,77.8087,78.5592,223712.91
2019-10-28,79.0408,81.3126,78.367,81.2738,686791.64
2019-10-29,81.2738,83.6621,80.9272,82.9874,954126.08
2019-10-30,83.0068,83.4311,82.5068,83.0068,517719.2
2019-10-31,83.0068,83.0262,80.5233,80.5233,1138491.96
2019-11-04,82.1408,85.6835,81.9485,85.6068,1012714.54
2019-11-05,86.5495,89.1689,86.0495,88.2252,999418.27
2019-11-06,87.2621,88.1291,86.935,87.6087,412321.36
2019-11-07,88.1864,93.0961,88.1864,93.0961,1480956.66
2019-11-08,91.9408,93.3272,91.0942,92.8078,932268.45
2019-11-12,92.9039,93.0961,90.3816,92.134,786590.4
2019-11-13,90.9786,91.3252,90.0155,90.6893,459937.23
2019-11-14,90.6893,91.5951,89.5922,90.6893,437745.88
2019-11-15,90.7864,91.2864,90.3049,91.1709,427645.7
2019-11-18,91.3447,93.0388,91.3447,91.7291,454789.29
2019-11-19,91.8641,92.634,90.9786,90.9786,545859.83
2019-11-20,90.4971,90.767,87.2427,90.0155,716834.68
2019-11-21,90.4971,91.1709,88.1864,88.4757,933091.42
2019-11-22,88.1864,89.6689,85.9534,87.0505,1098467.19
2019-11-25,87.532,89.3223,87.532,88.8029,623862.76
2019-11-26,88.6097,88.8223,87.3777,88.3981,1211440.68
2019-11-27,88.668,90.6893,88.4175,88.7835,264346.41
2019-11-28,88.5718,88.5718,87.166,87.3971,220378.8
2019-11-29,86.8388,87.8398,86.2029,86.5495,385787.53
2019-12-02,86.6466,87.6087,83.9699,84.6243,661230.13
2019-12-03,84.0466,85.5097,83.4117,83.8155,624128.5
2019-12-04,84.0272,85.9146,83.8155,85.3563,415940.78
2019-12-05,85.6835,87.1854,85.2796,86.4922,356360.43
2019-12-06,85.8184,89.4379,85.3175,89.4379,461772.69
2019-12-09,89.7272,90.6126,87.7631,89.8806,533080.62
2019-12-10,89.4961,91.9029,88.6874,90.3049,1002278.58
2019-12-11,90.3049,90.9786,89.0913,89.3417,564241.21
2019-12-12,89.9194,91.9408,89.7078,91.9408,808580.9
2019-12-13,92.9039,94.2903,92.5,92.9039,989624
2019-12-16,93.3854,95.099,93,94.4058,631992.55
2019-12-17,94.4058,94.6369,93.5398,94.1175,426517.85
